City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,uturoa,-16.7333,-151.4333,300.16,78,100,8.71,PF,1733817442
140,la sarre,48.8002,-79.1996,266.92,95,100,4.58,CA,1733817442
141,port alfred,-33.5906,26.891,298.25,77,58,1.79,ZA,1733817442
142,cartaya,37.2811,-7.1507,276.58,67,0,3.18,ES,1733817443
143,newman,37.3138,-121.0208,280.86,41,3,0.81,US,1733817443
144,ta`u,-14.2336,-169.5144,300.5,75,100,5.43,AS,1733817443
145,margaret river,-33.95,115.0667,298.39,43,0,7.43,AU,1733817443
146,isafjordur,66.0755,-23.124,277.17,56,75,13.89,IS,1733817443
147,caleta de carquin,-11.0925,-77.6267,292.07,90,100,2.3,PE,1733817443
148,pemangkat,1.1667,108.9667,300.99,80,100,3.37,ID,1733817443
149,sambava,-14.2667,50.1667,302.13,64,44,6.51,MG,1733817444
150,jasrana,27.25,78.6833,295.79,20,0,4.47,IN,1733817444
151,dongsheng,39.8161,109.9776,268.01,44,100,4.36,CN,1733817444
152,kavieng,-2.5744,150.7967,301.47,76,77,3.97,PG,1733817444
153,ingeniero jacobacci,-41.3427,-69.5448,287.56,46,56,2.25,AR,1733817444
154,bakchar,57.0186,82.0711,257.16,87,100,5.01,RU,1733817444
155,georgetown,5.4112,100.3354,302.12,66,20,3.13,MY,1733817257
156,vorgashor,67.5833,63.95,263.36,95,100,6.48,RU,1733817445
157,bamyan,34.75,67.25,267.77,50,86,2.14,AF,1733817445
158,saint-pierre,-21.3393,55.4781,301.97,61,75,9.77,RE,1733817445
159,ringkobing,56.0901,8.244,274.14,86,75,2.06,DK,1733817445
160,keflavik,64.0049,-22.5624,277.39,75,75,7.2,IS,1733817445
161,kwadukuza,-29.3282,31.2895,301.84,74,35,3.87,ZA,1733817445
162,nemuro,43.3236,145.575,273.23,58,18,8.39,JP,1733817446
163,hetauda,27.4284,85.0322,294.96,30,4,3.76,NP,1733817446
164,kingston,17.997,-76.7936,298.24,82,99,1.82,JM,1733817446
165,narrabri,-30.3167,149.7833,305.11,35,17,0.45,AU,1733817446
166,glace bay,46.1969,-59.957,270.45,78,75,1.34,CA,1733817446
